EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,DistanceGroup,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM297,18,18-25,Yes,Rarely,230,Research & Development,3,Near,Bachelor,Life Sciences,1,405,High,Male,54,High,1,Laboratory Technician,High,Single,1420,Upto 5k,25233,1,Y,No,13,Excellent,High,80,No Stock,0,2,Good,0,0,0,0
RM302,18,18-25,No,Rarely,812,Sales,10,Medium,Bachelor,Medical,1,411,Very High,Female,69,Medium,1,Sales Representative,High,Single,1200,Upto 5k,9724,1,Y,No,12,Excellent,Low,80,No Stock,0,2,Good,0,0,0,0
RM458,18,18-25,Yes,Frequently,1306,Sales,5,Near,Bachelor,Marketing,1,614,Medium,Male,69,High,1,Sales Representative,Medium,Single,1878,Upto 5k,8059,1,Y,Yes,14,Excellent,Very High,80,No Stock,0,3,Good,0,0,0,0
RM728,18,18-25,No,Non-Travel,287,Research & Development,5,Near,College,Life Sciences,1,1012,Medium,Male,73,High,1,Research Scientist,Very High,Single,1051,Upto 5k,13493,1,Y,No,15,Excellent,Very High,80,No Stock,0,2,Good,0,0,0,0
RM829,18,18-25,Yes,Non-Travel,247,Research & Development,8,Medium,Below College,Medical,1,1156,High,Male,80,High,1,Laboratory Technician,High,Single,1904,Upto 5k,13556,1,Y,No,12,Excellent,Very High,80,No Stock,0,0,Good,0,0,0,0
RM973,18,18-25,No,Non-Travel,1124,Research & Development,1,Near,Bachelor,Life Sciences,1,1368,Very High,Female,97,High,1,Laboratory Technician,Very High,Single,1611,Upto 5k,19305,1,Y,No,15,Excellent,High,80,No Stock,0,5,Excellent,0,0,0,0
RM1154,18,18-25,Yes,Frequently,544,Sales,3,Near,College,Medical,1,1624,Medium,Female,70,High,1,Sales Representative,Very High,Single,1569,Upto 5k,18420,1,Y,Yes,12,Excellent,High,80,No Stock,0,2,Excellent,0,0,0,0
RM1312,18,18-25,No,Non-Travel,1431,Research & Development,14,Medium,Bachelor,Medical,1,1839,Medium,Female,33,High,1,Research Scientist,High,Single,1514,Upto 5k,8018,1,Y,No,16,Excellent,High,80,No Stock,0,4,Poor,0,0,0,0
RM128,19,18-25,Yes,Rarely,528,Sales,22,Far,Below College,Marketing,1,167,Very High,Male,50,High,1,Sales Representative,High,Single,1675,Upto 5k,26820,1,Y,Yes,19,Excellent,Very High,80,No Stock,0,2,Fair,0,0,0,0
RM150,19,18-25,No,Rarely,1181,Research & Development,3,Near,Below College,Medical,1,201,Medium,Female,79,High,1,Laboratory Technician,Medium,Single,1483,Upto 5k,16102,1,Y,No,14,Excellent,Very High,80,No Stock,1,3,Good,1,0,0,0
